Chapultenangospkr4,English Translation,Comment
kəʔ,35_hand,
wijən,6_right,
taʔa,39_leg,
wihtkuj,140_walk,<wiht-kuj <walk-NOM 'walking' <wiht- 'to walk'
tuk,105_roadpath,
nuʔkuj,139_come,<nuʔk-kuj come-NOM 'comming' <nuʔk- 'to come'
aʔamə,146_turn, <aʔam-ə turn-IMP 'turn!' <aʔam- 'to turn' 
poʔjo,82_dust,
ɲaka,42_skin,<j-naka 3SG-skin 'his skin' <-naka 'skin'
uka,38_back,
tsehk,43_belly,
pahk,41_bone,
puʔu,44_intestines,
paʔat,46_liver,
tsuʔuʔtsi,45_breast,
peki,36_shoulder,
musokʲuj,167_know,<mus-oj-kuj know-AP?-NOM 'knowing' <mus- 'to know'
kipsokʲuj,168_think,<kips-oj-kuj think-AP?-NOM 'thinking' <kips- 'to think'
naʔtsu,182_fear,<naʔts-u fear-COM '(he) feared' <naʔts- 'to fear'
nəʔbin,40_blood,
kowak,27_head,
kəʔənə,37_neck,
wahʲ,28_hair,
kinə,30_nose,
suʔukosawa,184_breathe,<su?ukosa-pa absorb-air 'absorb air'
agnaka,32_mouth,
tə.ʔ.əhts,34_tooth,
təts,33_tongue,
sihkuj,169_laugh,<sih-kuj laugh-NOM 'laughing' <sih- 'to laugh'
həkʲuj,170_cry,<həj-kuj cry-NOM 'crying' <həj- 'to cry'
uʔutsi,185_vomit, <uʔuts-tsi vomit-I 'I vomit' <uʔuts- 'to vomit'
wejkuj,153_eat,<wej-kuj eat-NOM 'eating' <wej- 'to vomit'
kəʔəsə,152_chew,<kəʔəs-ə chew-IMPER 'chew!' <kəʔəs- 'to chew'
tsəkəwiʔikəj,196_cook,<tsəʔəkə-wiʔik-kəj prepare-eat-NOM 'cooking' <tsəʔəkəwiʔik- 'to cook'
ʔuhkuj,154_drink,<ʔuh-kuj drink-NOM 'drinking' <ʔuh- 'to drink'
kəʔəsə,155_bite,<kəʔəs-ə bite-IMP 'bite (it)!' <kəʔəs- 'to bite'
tsəhkuj,156_suck,<tsəh-kuj suck-NOM 'sucking'' <tsəjk- 'to suck'
tatsəhk,31_ear,
wiʔidəm,29_eye,
ʔamguj,164_see,<ʔam-kuj see-NOM 'seeing' <ʔam- 'to see'
məʔəwəj,157_yawn,<məʔəw-əj məʔəw-?? 'to yawn' < məʔəw- 'to yawn'
