Rayon,English Translation,Comment
kəʔ,35_hand,
aʔaɲak,7_left,
tahaʔ,39_leg,
tuʔunahkuj,140_walk, < t u.ʔ.u n a h-kuj follow.way-NOM  'walking' < t u.ʔ.u n a h- 'to walk'
pakseʔədu,146_turn, < pakseʔəd-u  turn?-PAST 'he turned it'(?)
suŋuj,148_swim,<sun-kuj  swim-NOM 'swimming' < sun- 'to swim'
pəʔədu,127_dirty,
poʔojoʔ,82_dust,
naka,42_skin,
ukaʔ,38_back,
tsehk,43_belly,
pak,41_bone,
puʔu,44_intestines,
pat,46_liver,
tsuʔuʔtsi,45_breast,
peki,36_shoulder,
muskuj,167_know, <mus-kuj  know-NOM  'knowing' <mus- 'to know'
kipsu,168_think, <kips-u  think-PAST 'he thought' < kips- 'to think'
naʔatsu,182_fear, < n a.ʔ.a ts-u  fear-PASAT 'feared' < n a.ʔ.a ts- 'to fear'
nəʔəwit,40_blood,
kowak,27_head,
kəʔənə,37_neck,
wahʲ,28_hair,
kinə,30_nose,
hejpəhkuj,184_breathe, <hejpəh-kuj  breath-NOM 'breathing' < hejpəh- 'to breath'
suʔukuj,166_sniffsmell,< s u.ʔ.u- kuj  sniff-NOM  'sniffing' < s u.ʔ.u-  'to sniff'
agnaka,32_mouth,
təhts,34_tooth,
tohts,33_tongue,
siʔkuj,169_laugh, <siʔ-kuj  laugh-NOM 'laughing' < siʔ- 'to laugh'
həʔəkʲuj,170_cry, <h ə.ʔ.əj-kuj  cry-NOM 'crying' < h ə.ʔ.ə j- 'to cry'
əʔətskuj,185_vomit, < ə.ʔ.ə ts-kuj  vomit-NOM  'vomiting'< ə.ʔ.ə ts-'to vomit'
tsuhkuj,158_spit,tsuj-kuj spit-NOM 'spitting' < tsuj-'to spit'
kuʔutkuj,153_eat, <k u.ʔ.u t-kuj  eat-NOM  'eating' < k u.ʔ.u t- 'to eat'
waskuj,152_chew,< was-kuj  chew-NOM 'chewing' < was- 'to chew'
kutkutʃəhkuj,196_cook, < kutku-tʃəh-kuj  prepare-food-NOM 'cooking' < kutkutʃəh- 'to make food'
toʔoŋuj,154_drink, <t o.ʔ.o n-kuj  drink-NOM  'drinking' < t o.ʔ.o n-  'to drink'
kəʔskuj,155_bite, <kəʔs-kuj  bite-NOM 'biting' <təʔs- 'to bite'
jaktsuʔutsu,156_suck, <jak-ts u.ʔ.u ts-u  CAUS-suck-PAST 'he sucked (it)' < jaktsuʔuts- 'to suck'
taʔatsək,31_ear,
