ID,Name,Concepticon_ID,Concepticon_Gloss,IndexInSource,Spanish_Gloss
1_one,one,1493,ONE,1-0,uno
2_two,two,1498,TWO,2-0,dos
3_three,three,492,THREE,3-0,tres
4_four,four,1500,FOUR,4-0,cuatro
5_year,year,1226,YEAR,51-0,año
6_right,right,1019,RIGHT,81-0,(a la) derecha
7_left,left,244,LEFT,82-0,(a la) izquierda   
8_i,I,1209,I,101-0,yo
9_weallexcl,"we  (all, EXcl.)",1130,WE (EXCLUSIVE),102-0,nosotros (excl.)
10_weallincl,"we  (all, INcl.)",1131,WE (INCLUSIVE),102-3,nosotros (incl.)
11_yousg,you  (sg.),1215,THOU,104-0,tú
12_heshe,he/she,2642,HE OR SHE,106-0,"él, ella"
13_theyall,they  (all),817,THEY,107-0,"ellos, ellas"
14_nonot,"no, not",2279,NO OR NOT,112-0,no
15_what,what,1236,WHAT,121-0,qué (pregunta)
16_who,who,1235,WHO,122-0,quién (pregunta)
17_where,where,1237,WHERE,123-0,dónde (pregunta)
18_when,when,1238,WHEN,124-0,cuándo (pregunta)
19_how,how,1239,HOW,125-0,cómo (pregunta)
20_this,this,1214,THIS,131-0,este
21_that,that,78,THAT,132-0,"ese, aquel"
22_and,and,1577,AND,134-0,y
23_above,above,1741,ABOVE,138-0,"encima, arriba, sobre    "
24_below,below,1485,BELOW OR UNDER,139-0,abajo
25_ininside,"in, inside",1460,IN,141-0,dentro 
26_at,at,1461,AT,148-0,en
27_head,head,1256,HEAD,201-0,cabeza
28_hair,hair,1040,HAIR,205-0,pelo (de cabeza)
29_eye,eye,1248,EYE,211-0,ojo
30_nose,nose,1221,NOSE,212-0,nariz
31_ear,ear,1247,EAR,213-0,oreja
32_mouth,mouth,674,MOUTH,221-0,boca
33_tongue,tongue,1205,TONGUE,223-0,lengua (órgano)
34_tooth,tooth,1380,TOOTH,224-0,diente
35_hand,hand,1277,HAND,231-0,mano           
36_shoulder,shoulder,1482,SHOULDER,233-0,hombro
37_neck,neck,1333,NECK,241-0,cuello
38_back,back,1291,BACK,242-0,espalda
39_leg,leg,2098,FOOT OR LEG,252-0,pierna/pie
40_blood,blood,946,BLOOD,261-0,sangre
41_bone,bone,1394,BONE,262-0,hueso
42_skin,skin,763,SKIN,263-0,piel
43_belly,belly,1251,BELLY,271-0,estómago
44_intestines,intestines,1991,INTESTINES,272-0,intestinos
45_breast,breast,1402,BREAST,274-0,pecho (de mujer)
46_liver,liver,1224,LIVER,284-0,hígado
47_dog,dog,2009,DOG,312-0,perro
48_bird,bird,937,BIRD,321-0,pájaro
49_fish,fish,227,FISH,324-0,"pez, pezcado"
50_snake,snake,730,SNAKE,341-0,víbora
51_worm,worm,1219,WORM,342-0,gusano (tierra)
52_louse,louse,1392,LOUSE,343-0,piojo
53_rat,rat,1490,RAT,345-0,rata
54_spider,spider,843,SPIDER,349-0,araña
55_mosquito,mosquito,1509,MOSQUITO,352-0,mosquito
56_egg,egg,744,EGG,381-0,huevo
57_tail,tail,1220,TAIL,383-0,cola
58_wing,wing,1257,WING,384-0,ala
59_feather,feather,1201,FEATHER,385-0,pluma (de pájaro)
60_person,person,683,PERSON,401-0,persona
61_man,man,2106,MALE PERSON,402-0,hombre
62_woman,woman,2105,FEMALE PERSON,403-0,mujer
63_child,child,2099,CHILD,405-0,niño
64_name,name,1405,NAME,410-0,nombre
65_mother,mother,1216,MOTHER,431-0,madre
66_father,father,1217,FATHER,432-0,padre
67_husband,husband,1200,HUSBAND,435-0,marido
68_wife,wife,1199,WIFE,436-0,esposa 
69_day,day,1225,DAY (NOT NIGHT),501-0,día
70_night,night,1233,NIGHT,502-0,noche
71_moon,moon,1313,MOON,512-0,luna
72_star,star,1430,STAR,513-0,estrella
73_sky,sky,1732,SKY,515-0,cielo
74_water,water,948,WATER,521-0,agua
75_lake,lake,624,LAKE,523-0,lago
76_sea,sea,1474,SEA,524-0,mar
77_fire,fire,221,FIRE,541-0,fuego
78_smoke,smoke,778,SMOKE (EXHAUST),542-0,humo (del fuego)
79_ash,ash,646,ASH,543-0,ceniza
80_stone,stone,857,STONE,551-0,piedra
81_earthsoil,"earth, soil",1228,EARTH (SOIL),552-0,"tierra, suelo"
82_dust,dust,2,DUST,553-0,polvo
83_sand,sand,671,SAND,554-0,arena
84_rain,rain,658,RAIN (PRECIPITATION),581-0,lluvia
85_cloud,cloud,1489,CLOUD,584-0,nube
86_wind,wind,960,WIND,585-0,viento
87_fog,fog,249,FOG,586-0,niebla
88_thunder,thunder,1150,THUNDER,592-0,trueno
89_lightning,lightning,1654,LIGHTNING,593-0,relámpago
90_meatflesh,"meat, flesh",2615,FLESH OR MEAT,603-0,carne
91_salt,salt,1274,SALT,604-0,sal
92_fatgrease,"fat, grease",323,FAT (ORGANIC SUBSTANCE),606-0,grasa
93_fruit,fruit,1507,FRUIT,609-0,fruta
94_woodsforest,"woods, forest",420,FOREST,622-0,"bosque, selva, monte"
95_root,root,670,ROOT,624-0,raíz
96_branch,branch,1531,BRANCH,625-0,rama
97_leaf,leaf,628,LEAF,626-0,hoja
98_wood,wood,1295,STICK,628-0,palo (de madera)
99_grass,grass,606,GRASS,631-0,hierba
100_flower,flower,239,FLOWER,632-0,flor
101_thatchroof,"thatch, roof",2100,THATCH OR ROOF,633-0,paja (techo)
102_house,house,1252,HOUSE,651-0,casa
103_rope,rope,1218,ROPE,662-0,"cuerda, mecate"
104_needle,needle,1382,NEEDLE (FOR SEWING),663-0,aguja (para coser)
105_roadpath,"road, path",2457,PATH OR ROAD,681-0,camino
106_black,black,163,BLACK,701-0,negro
107_white,white,1335,WHITE,702-0,blanco
108_red,red,156,RED,703-0,rojo
109_green,green,1425,GREEN,704-0,verde
110_yellow,yellow,1424,YELLOW,705-0,amarillo
